id,transaction_date,quantity,project_id,project_name,project_short_code,supplier,pathway,pathway_full,retired_by,beneficiary,purposes,notes
ret_1JG70FDKV1S0DD2B,2024-12-28T16:09:34.187082+00:00,500.0,prj_1J4P33N6W1S0RKE2,Loblolly Project,V093,Graphyte,BiCRS,Biomass Carbon Removal and Storage,Supercritical,"BlackRock, Inc.",OTHER,"500 tonnes of carbon dioxide removal retired by Supercritical on behalf of BlackRock, Inc."
ret_1JFDXKG7E1S0TBWX,2024-12-18T22:18:21.337119+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Watershed,"Zendesk, Inc.",CORPORATE_TARGETS,"Retirement of environmental credits on behalf of Zendesk, Inc."
ret_1JFDX4F811S0ZD9Y,2024-12-18T22:10:08.920260+00:00,1.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Watershed,"Skims Body, Inc.",PUBLIC_ENVIRONMENTAL_CLAIMS,"Retirement of environmental credits on behalf of Skims Body, Inc."
ret_1JE6W9MYK1S0HVX4,2024-12-03T18:25:07.057570+00:00,6.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1JE6MQ6FY1S0Y71F,2024-12-03T16:12:42.395968+00:00,72.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Autodesk,Autodesk,CORPORATE_TARGETS,
ret_1JE6HJYS01S0PXA5,2024-12-03T15:17:57.767623+00:00,22.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1JCRHGGBN1S080P0,2024-11-15T18:31:33.622166+00:00,14.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,GitLab Inc. ,OTHER,On behalf of GitLab Inc.
ret_1JBT515MM1S065VJ,2024-11-03T23:16:15.150846+00:00,52.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1JBHT15JG1S0NTV4,2024-10-31T17:30:05.293549+00:00,4.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1JBHQT6J51S025ZF,2024-10-31T16:51:19.913882+00:00,16.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1J9W027GM1S08Q0T,2024-10-10T19:56:32.169185+00:00,106.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1J9QE9FQA1S04P8X,2024-10-09T01:28:57.852485+00:00,8.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,PUBLIC_ENVIRONMENTAL_CLAIMS,
ret_1J9CFV6NT1S0HDQB,2024-10-04T19:24:28.320987+00:00,32.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1J7HHPZ3N1S056RW,2024-09-11T22:01:55.126915+00:00,4.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Workday,Workday,CORPORATE_TARGETS,
ret_1J6QYRZBV1S0S4PE,2024-09-01T23:29:57.144111+00:00,53.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1J6QYQMQ41S05FTS,2024-09-01T23:29:13.501253+00:00,1000.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1J6QYP6JB1S0HTZ4,2024-09-01T23:28:26.217588+00:00,35.02,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
ret_1J6KZ563G1S0G3DA,2024-08-31T10:19:39.596131+00:00,16.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1J6BDE7K41S0B6ZZ,2024-08-28T02:36:06.209465+00:00,9.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,GitLab Inc. ,OTHER,Rubicon Carbon retiring on behalf of Gitlab Inc.
ret_1J6BD8FS21S0G8D0,2024-08-28T02:32:57.993774+00:00,9.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Rubicon Carbon,GitLab Inc. ,OTHER,Rubicon Carbon retiring on behalf of Gitlab Inc.
ret_1J5S55ZJZ1S098N4,2024-08-21T00:25:27.505662+00:00,35.02,prj_1HZSSWBQM1S08H83,Charm Bio-oil Geologic Storage,7BDE,Charm Industrial,BiCRS,Biomass Carbon Removal and Storage,JPMorganChase,JPMorganChase,CORPORATE_TARGETS,
ret_1HXA67FPM1S0DY3D,2024-05-07T18:49:34.236780+00:00,229.0,prj_1HHYZFVGW1S044ZY,Great Plains Organic Waste Sequestration,01P4,Vaulted Deep,BiCRS,Biomass Carbon Removal and Storage,Shopify,Shopify,CORPORATE_TARGETS,
